Learning Rate: 0.001
Batch Size: 64
Number of Epochs: 500
Model Name: my_cool_model
Data Path: /home/mkhokhlo/projects/kotelnikov/data_lstm_august24_PDET_left_right.csv
Feature_names: ['ampl', 'BandwidthesHz', 'Bottom', 'flash_periods', 'flash_seconds', 'frac_band', 'freq', 'left', 'phase', 'Psi0', 'right', 'timeSignal', 'top', 'time_sincelast']
Starting to train for the first pair 0_1, results are saved /home/mkhokhlo/projects/kotelnikov/scripts/scripts/results/0_1
verification Left,  ampl
verification Left,  BandwidthesHz
(21600, 2)
(21600,)
Epoch 101, Loss: 0.3896, Accuracy: 0.8086
Epoch 102, Loss: 0.3896, Accuracy: 0.8089
Epoch 103, Loss: 0.3894, Accuracy: 0.8097
Epoch 104, Loss: 0.3895, Accuracy: 0.8088
Epoch 105, Loss: 0.3894, Accuracy: 0.8086
Epoch 106, Loss: 0.3860, Accuracy: 0.8079
Epoch 107, Loss: 0.3895, Accuracy: 0.8091
Epoch 108, Loss: 0.3896, Accuracy: 0.8082
Epoch 109, Loss: 0.3860, Accuracy: 0.8085
Epoch 110, Loss: 0.3897, Accuracy: 0.8086
Epoch 111, Loss: 0.3898, Accuracy: 0.8070
Epoch 112, Loss: 0.3897, Accuracy: 0.8082
Epoch 113, Loss: 0.3858, Accuracy: 0.8079
Epoch 114, Loss: 0.3895, Accuracy: 0.8102
Epoch 115, Loss: 0.3898, Accuracy: 0.8076
Epoch 116, Loss: 0.3896, Accuracy: 0.8089
Epoch 117, Loss: 0.3857, Accuracy: 0.8087
Epoch 118, Loss: 0.3892, Accuracy: 0.8091
Epoch 119, Loss: 0.3893, Accuracy: 0.8080
Epoch 120, Loss: 0.3855, Accuracy: 0.8088
Epoch 121, Loss: 0.3894, Accuracy: 0.8095
Epoch 122, Loss: 0.3899, Accuracy: 0.8086
Epoch 123, Loss: 0.3897, Accuracy: 0.8089
Epoch 124, Loss: 0.3896, Accuracy: 0.8091
Epoch 125, Loss: 0.3902, Accuracy: 0.8087
Epoch 126, Loss: 0.3896, Accuracy: 0.8077
Epoch 127, Loss: 0.3891, Accuracy: 0.8090
Epoch 128, Loss: 0.3896, Accuracy: 0.8084
Epoch 129, Loss: 0.3855, Accuracy: 0.8081
Epoch 130, Loss: 0.3891, Accuracy: 0.8080
Epoch 131, Loss: 0.3855, Accuracy: 0.8093
Epoch 132, Loss: 0.3891, Accuracy: 0.8090
Epoch 133, Loss: 0.3892, Accuracy: 0.8080
Epoch 134, Loss: 0.3890, Accuracy: 0.8089
Epoch 135, Loss: 0.3894, Accuracy: 0.8093
Epoch 136, Loss: 0.3891, Accuracy: 0.8089
Epoch 137, Loss: 0.3891, Accuracy: 0.8090
Epoch 138, Loss: 0.3891, Accuracy: 0.8088
Epoch 139, Loss: 0.3892, Accuracy: 0.8083
Epoch 140, Loss: 0.3858, Accuracy: 0.8083
Epoch 141, Loss: 0.3888, Accuracy: 0.8091
Epoch 142, Loss: 0.3895, Accuracy: 0.8089
Epoch 143, Loss: 0.3892, Accuracy: 0.8083
Epoch 144, Loss: 0.3890, Accuracy: 0.8083
Epoch 145, Loss: 0.3892, Accuracy: 0.8083
Epoch 146, Loss: 0.3889, Accuracy: 0.8087
Epoch 147, Loss: 0.3853, Accuracy: 0.8085
Epoch 148, Loss: 0.3887, Accuracy: 0.8087
Epoch 149, Loss: 0.3850, Accuracy: 0.8094
Epoch 150, Loss: 0.3883, Accuracy: 0.8089
Epoch 151, Loss: 0.3888, Accuracy: 0.8087
Epoch 152, Loss: 0.3890, Accuracy: 0.8086
Epoch 153, Loss: 0.3888, Accuracy: 0.8084
Epoch 154, Loss: 0.3884, Accuracy: 0.8086
Epoch 155, Loss: 0.3886, Accuracy: 0.8087
Epoch 156, Loss: 0.3928, Accuracy: 0.8087
Epoch 157, Loss: 0.3887, Accuracy: 0.8096
Epoch 158, Loss: 0.3887, Accuracy: 0.8090
Epoch 159, Loss: 0.3887, Accuracy: 0.8096
Epoch 160, Loss: 0.3886, Accuracy: 0.8087
Epoch 161, Loss: 0.3885, Accuracy: 0.8099
Epoch 162, Loss: 0.3882, Accuracy: 0.8094
Epoch 163, Loss: 0.3882, Accuracy: 0.8092
Epoch 164, Loss: 0.3886, Accuracy: 0.8096
Epoch 165, Loss: 0.3881, Accuracy: 0.8091
Epoch 166, Loss: 0.3887, Accuracy: 0.8084
Epoch 167, Loss: 0.3842, Accuracy: 0.8095
Epoch 168, Loss: 0.3847, Accuracy: 0.8099
Epoch 169, Loss: 0.3842, Accuracy: 0.8097
Epoch 170, Loss: 0.3848, Accuracy: 0.8097
Epoch 171, Loss: 0.3880, Accuracy: 0.8092
Epoch 172, Loss: 0.3845, Accuracy: 0.8092
Epoch 173, Loss: 0.3882, Accuracy: 0.8085
Epoch 174, Loss: 0.3881, Accuracy: 0.8095
Epoch 175, Loss: 0.3878, Accuracy: 0.8095
Epoch 176, Loss: 0.3879, Accuracy: 0.8093
Epoch 177, Loss: 0.3884, Accuracy: 0.8098
Epoch 178, Loss: 0.3879, Accuracy: 0.8087
Epoch 179, Loss: 0.3880, Accuracy: 0.8094
Epoch 180, Loss: 0.3877, Accuracy: 0.8104
Epoch 181, Loss: 0.3881, Accuracy: 0.8092
Epoch 182, Loss: 0.3880, Accuracy: 0.8092
Epoch 183, Loss: 0.3879, Accuracy: 0.8095
Epoch 184, Loss: 0.3880, Accuracy: 0.8093
Epoch 185, Loss: 0.3880, Accuracy: 0.8090
Epoch 186, Loss: 0.3880, Accuracy: 0.8096
Epoch 187, Loss: 0.3875, Accuracy: 0.8101
Epoch 188, Loss: 0.3879, Accuracy: 0.8100
Epoch 189, Loss: 0.3879, Accuracy: 0.8097
Epoch 190, Loss: 0.3883, Accuracy: 0.8104
Epoch 191, Loss: 0.3879, Accuracy: 0.8103
Epoch 192, Loss: 0.3876, Accuracy: 0.8099
Epoch 193, Loss: 0.3879, Accuracy: 0.8096
Epoch 194, Loss: 0.3874, Accuracy: 0.8104
Epoch 195, Loss: 0.3880, Accuracy: 0.8106
Epoch 196, Loss: 0.3875, Accuracy: 0.8098
Epoch 197, Loss: 0.3877, Accuracy: 0.8098
Epoch 198, Loss: 0.3876, Accuracy: 0.8102
Epoch 199, Loss: 0.3872, Accuracy: 0.8099
Epoch 200, Loss: 0.3874, Accuracy: 0.8100
Epoch 201, Loss: 0.3876, Accuracy: 0.8095
Epoch 202, Loss: 0.3878, Accuracy: 0.8097
Epoch 203, Loss: 0.3834, Accuracy: 0.8097
Epoch 204, Loss: 0.3880, Accuracy: 0.8095
Epoch 205, Loss: 0.3875, Accuracy: 0.8109
Epoch 206, Loss: 0.3878, Accuracy: 0.8103
Epoch 207, Loss: 0.3870, Accuracy: 0.8104
Epoch 208, Loss: 0.3916, Accuracy: 0.8102
Epoch 209, Loss: 0.3872, Accuracy: 0.8100
Epoch 210, Loss: 0.3875, Accuracy: 0.8113
Epoch 211, Loss: 0.3874, Accuracy: 0.8102
Epoch 212, Loss: 0.3878, Accuracy: 0.8099
Epoch 213, Loss: 0.3876, Accuracy: 0.8101
Epoch 214, Loss: 0.3836, Accuracy: 0.8098
Epoch 215, Loss: 0.3872, Accuracy: 0.8093
Epoch 216, Loss: 0.3872, Accuracy: 0.8097
Epoch 217, Loss: 0.3913, Accuracy: 0.8103
